latitude,longitude,
52.928855,-1.503428,Start
52.928661,-1.502792,
52.928344,-1.501891,
52.92795,-1.5007,
52.927504,-1.499235,
52.926987,-1.497492,
52.926631,-1.496151,
52.926202,-1.494608,
52.925544,-1.492245,
52.925184,-1.490395,
52.924976,-1.488443,
52.925568,-1.487869,
52.925184,-1.486465,
52.924815,-1.485177,
52.924361,-1.484054,
52.923299,-1.484501,
52.922053,-1.485292,
52.921463,-1.486202,End
