latitude,longitude
57.101474,-2.242851
57.102554,-2.246308
57.100556,-2.248342
57.084444,-2.255708
57.096656,-2.258102
57.097085,-2.267513
57.099011,-2.252854
57.101765,-2.254688
57.097553,-2.245483
57.098244,-2.245768
57.098554,-2.252504
57.091357,-2.224831
57.083838,-2.234437
57.089299,-2.239768
57.095679,-2.24788
57.090696,-2.255866
57.086315,-2.258591
57.079125,-2.268851
57.090611,-2.257483
57.081421,-2.262319
57.081938,-2.246567
57.069311,-2.258011
57.067251,-2.272212
57.067834,-2.284733
57.062162,-2.278341
57.051402,-2.265255
57.057092,-2.250046
57.069302,-2.235582
57.08228,-2.236671
57.082726,-2.238588
57.064194,-2.228427
57.070236,-2.244906
57.09781,-2.228006
57.102794,-2.243454
57.101474,-2.242851
57.101893,-2.239883
57.101383,-2.238955
57.103205,-2.239743
57.104578,-2.235641
57.105424,-2.234953
57.105516,-2.233683
57.106628,-2.234746
57.106391,-2.231955
57.101378,-2.24153
57.106104,-2.231689
57.10717,-2.233
57.106884,-2.232618
57.107661,-2.230246
57.10909,-2.239203
57.107009,-2.237621
57.108252,-2.240617
57.110383,-2.244395
57.104777,-2.240001
57.104539,-2.246883
57.108521,-2.258647
57.115956,-2.255892
57.123893,-2.274709
57.11464,-2.24946
57.103941,-2.240226
57.106769,-2.2362
57.121687,-2.242538
57.102686,-2.238485
57.102773,-2.235597
57.103737,-2.233705
57.104806,-2.233992
57.106397,-2.228538
57.107544,-2.225293
57.108138,-2.229688
57.109997,-2.224961
57.108137,-2.225082
57.112643,-2.222104
57.106971,-2.219214
57.107637,-2.233317
57.112532,-2.218603
57.108715,-2.228123
57.108654,-2.232398
57.109677,-2.232553
57.108879,-2.23689
57.110828,-2.237084
57.110883,-2.231636
57.110407,-2.2316
57.112903,-2.236916
57.110698,-2.244001
57.106695,-2.222927
57.105641,-2.219487
57.105038,-2.219962
57.106227,-2.223106
57.110769,-2.234987
57.112001,-2.234087
57.111379,-2.235486
57.111109,-2.235716
57.110195,-2.239243
57.110638,-2.237446
57.100938,-2.272063
57.101762,-2.27334
57.102358,-2.271941
57.094135,-2.273218
57.094255,-2.26335
57.093435,-2.26874
57.08828,-2.268555
57.093757,-2.269799
57.094153,-2.273432
57.09508,-2.272565
57.09397,-2.275098
57.088664,-2.293291
57.097003,-2.272496
57.09868,-2.273763
57.102373,-2.285246
57.102918,-2.29451
57.101551,-2.258417
57.103457,-2.290602
57.105198,-2.279391
57.104161,-2.276973
57.104777,-2.270638
57.103033,-2.258642
57.103033,-2.258642
57.107619,-2.269272
57.107954,-2.276258
57.106835,-2.286402
57.110969,-2.285444
57.125065,-2.296784
57.11915,-2.294738
57.126899,-2.280479
57.108991,-2.286584
57.108485,-2.29155
57.10808,-2.292075
57.106269,-2.30563
57.110644,-2.323084
57.109439,-2.337305
57.121307,-2.330229
57.095925,-2.264038
57.094927,-2.264576
57.09437,-2.264159
57.095411,-2.264744
57.095294,-2.264859
57.096586,-2.261485
57.097217,-2.26045
57.09696,-2.262973
57.097781,-2.261097
57.096765,-2.257509
57.097358,-2.25753
57.098225,-2.254944
57.098776,-2.253529
57.0976,-2.253356
57.09788,-2.2524
57.098754,-2.255542
57.098901,-2.254008
